,Data,Tipo,Valore
0,2020/03/01,retail_and_recreation,-33.0
1,2020/03/01,grocery_and_pharmacy,-9.0
2,2020/03/01,parks,-38.0
3,2020/03/01,transit_stations,-40.0
4,2020/03/01,workplaces,-14.0
5,2020/03/01,residential,7.0
6,2020/03/02,retail_and_recreation,-26.0
7,2020/03/02,grocery_and_pharmacy,-18.0
8,2020/03/02,parks,-53.0
9,2020/03/02,transit_stations,-44.0
10,2020/03/02,workplaces,-20.0
11,2020/03/02,residential,11.0
12,2020/03/03,retail_and_recreation,-13.0
13,2020/03/03,grocery_and_pharmacy,-1.0
14,2020/03/03,parks,16.0
15,2020/03/03,transit_stations,-35.0
16,2020/03/03,workplaces,-19.0
17,2020/03/03,residential,9.0
18,2020/03/04,retail_and_recreation,-14.0
19,2020/03/04,grocery_and_pharmacy,-1.0
20,2020/03/04,parks,46.0
21,2020/03/04,transit_stations,-34.0
22,2020/03/04,workplaces,-19.0
23,2020/03/04,residential,8.0
24,2020/03/05,retail_and_recreation,-22.0
25,2020/03/05,grocery_and_pharmacy,-6.0
26,2020/03/05,parks,-31.0
27,2020/03/05,transit_stations,-42.0
28,2020/03/05,workplaces,-21.0
29,2020/03/05,residential,11.0
30,2020/03/06,retail_and_recreation,-20.0
31,2020/03/06,grocery_and_pharmacy,-2.0
32,2020/03/06,parks,1.0
33,2020/03/06,transit_stations,-40.0
34,2020/03/06,workplaces,-22.0
35,2020/03/06,residential,11.0
36,2020/03/07,retail_and_recreation,-25.0
37,2020/03/07,grocery_and_pharmacy,-1.0
38,2020/03/07,parks,54.0
39,2020/03/07,transit_stations,-31.0
40,2020/03/07,workplaces,-19.0
41,2020/03/07,residential,7.0
42,2020/03/08,retail_and_recreation,-48.0
43,2020/03/08,grocery_and_pharmacy,-1.0
44,2020/03/08,parks,16.0
45,2020/03/08,transit_stations,-42.0
46,2020/03/08,workplaces,-19.0
47,2020/03/08,residential,8.0
48,2020/03/09,retail_and_recreation,-42.0
49,2020/03/09,grocery_and_pharmacy,-9.0
50,2020/03/09,parks,-35.0
51,2020/03/09,transit_stations,-57.0
52,2020/03/09,workplaces,-31.0
53,2020/03/09,residential,16.0
54,2020/03/10,retail_and_recreation,-50.0
55,2020/03/10,grocery_and_pharmacy,-8.0
56,2020/03/10,parks,-25.0
57,2020/03/10,transit_stations,-61.0
58,2020/03/10,workplaces,-38.0
59,2020/03/10,residential,20.0
60,2020/03/11,retail_and_recreation,-57.0
61,2020/03/11,grocery_and_pharmacy,-13.0
62,2020/03/11,parks,-23.0
63,2020/03/11,transit_stations,-65.0
64,2020/03/11,workplaces,-43.0
65,2020/03/11,residential,22.0
66,2020/03/12,retail_and_recreation,-74.0
67,2020/03/12,grocery_and_pharmacy,-26.0
68,2020/03/12,parks,-62.0
69,2020/03/12,transit_stations,-74.0
70,2020/03/12,workplaces,-52.0
71,2020/03/12,residential,28.0
72,2020/03/13,retail_and_recreation,-78.0
73,2020/03/13,grocery_and_pharmacy,-27.0
74,2020/03/13,parks,-57.0
75,2020/03/13,transit_stations,-76.0
76,2020/03/13,workplaces,-58.0
77,2020/03/13,residential,31.0
78,2020/03/14,retail_and_recreation,-86.0
79,2020/03/14,grocery_and_pharmacy,-46.0
80,2020/03/14,parks,-80.0
81,2020/03/14,transit_stations,-80.0
82,2020/03/14,workplaces,-63.0
83,2020/03/14,residential,26.0
84,2020/03/15,retail_and_recreation,-91.0
85,2020/03/15,grocery_and_pharmacy,-58.0
86,2020/03/15,parks,-78.0
87,2020/03/15,transit_stations,-83.0
88,2020/03/15,workplaces,-57.0
89,2020/03/15,residential,22.0
90,2020/03/16,retail_and_recreation,-78.0
91,2020/03/16,grocery_and_pharmacy,-35.0
92,2020/03/16,parks,-62.0
93,2020/03/16,transit_stations,-79.0
94,2020/03/16,workplaces,-63.0
95,2020/03/16,residential,30.0
96,2020/03/17,retail_and_recreation,-80.0
97,2020/03/17,grocery_and_pharmacy,-39.0
98,2020/03/17,parks,-59.0
99,2020/03/17,transit_stations,-80.0
100,2020/03/17,workplaces,-65.0
101,2020/03/17,residential,32.0
102,2020/03/18,retail_and_recreation,-82.0
103,2020/03/18,grocery_and_pharmacy,-42.0
104,2020/03/18,parks,-67.0
105,2020/03/18,transit_stations,-81.0
106,2020/03/18,workplaces,-66.0
107,2020/03/18,residential,33.0
108,2020/03/19,retail_and_recreation,-82.0
109,2020/03/19,grocery_and_pharmacy,-43.0
110,2020/03/19,parks,-72.0
111,2020/03/19,transit_stations,-82.0
112,2020/03/19,workplaces,-67.0
113,2020/03/19,residential,34.0
114,2020/03/20,retail_and_recreation,-82.0
115,2020/03/20,grocery_and_pharmacy,-40.0
116,2020/03/20,parks,-76.0
117,2020/03/20,transit_stations,-82.0
118,2020/03/20,workplaces,-68.0
119,2020/03/20,residential,36.0
120,2020/03/21,retail_and_recreation,-88.0
121,2020/03/21,grocery_and_pharmacy,-55.0
122,2020/03/21,parks,-84.0
123,2020/03/21,transit_stations,-83.0
124,2020/03/21,workplaces,-67.0
125,2020/03/21,residential,27.0
126,2020/03/22,retail_and_recreation,-95.0
127,2020/03/22,grocery_and_pharmacy,-80.0
128,2020/03/22,parks,-92.0
129,2020/03/22,transit_stations,-89.0
130,2020/03/22,workplaces,-65.0
131,2020/03/22,residential,24.0
132,2020/03/23,retail_and_recreation,-84.0
133,2020/03/23,grocery_and_pharmacy,-47.0
134,2020/03/23,parks,-82.0
135,2020/03/23,transit_stations,-86.0
136,2020/03/23,workplaces,-74.0
137,2020/03/23,residential,35.0
138,2020/03/24,retail_and_recreation,-84.0
139,2020/03/24,grocery_and_pharmacy,-48.0
140,2020/03/24,parks,-78.0
141,2020/03/24,transit_stations,-85.0
142,2020/03/24,workplaces,-74.0
143,2020/03/24,residential,36.0
144,2020/03/25,retail_and_recreation,-86.0
145,2020/03/25,grocery_and_pharmacy,-50.0
146,2020/03/25,parks,-82.0
147,2020/03/25,transit_stations,-86.0
148,2020/03/25,workplaces,-75.0
149,2020/03/25,residential,37.0
150,2020/03/26,retail_and_recreation,-86.0
151,2020/03/26,grocery_and_pharmacy,-51.0
152,2020/03/26,parks,-83.0
153,2020/03/26,transit_stations,-86.0
154,2020/03/26,workplaces,-77.0
155,2020/03/26,residential,39.0
156,2020/03/27,retail_and_recreation,-86.0
157,2020/03/27,grocery_and_pharmacy,-47.0
158,2020/03/27,parks,-82.0
159,2020/03/27,transit_stations,-86.0
160,2020/03/27,workplaces,-77.0
161,2020/03/27,residential,40.0
162,2020/03/28,retail_and_recreation,-89.0
163,2020/03/28,grocery_and_pharmacy,-59.0
164,2020/03/28,parks,-85.0
165,2020/03/28,transit_stations,-85.0
166,2020/03/28,workplaces,-70.0
167,2020/03/28,residential,28.0
168,2020/03/29,retail_and_recreation,-95.0
169,2020/03/29,grocery_and_pharmacy,-81.0
170,2020/03/29,parks,-91.0
171,2020/03/29,transit_stations,-89.0
172,2020/03/29,workplaces,-65.0
173,2020/03/29,residential,24.0
174,2020/03/30,retail_and_recreation,-85.0
175,2020/03/30,grocery_and_pharmacy,-48.0
176,2020/03/30,parks,-82.0
177,2020/03/30,transit_stations,-85.0
178,2020/03/30,workplaces,-75.0
179,2020/03/30,residential,36.0
180,2020/03/31,retail_and_recreation,-92.0
181,2020/03/31,grocery_and_pharmacy,-42.0
182,2020/03/31,parks,-78.0
183,2020/03/31,transit_stations,-84.0
184,2020/03/31,workplaces,-76.0
185,2020/03/31,residential,37.0
186,2020/04/01,retail_and_recreation,-92.0
187,2020/04/01,grocery_and_pharmacy,-40.0
188,2020/04/01,parks,-78.0
189,2020/04/01,transit_stations,-84.0
190,2020/04/01,workplaces,-75.0
191,2020/04/01,residential,37.0
192,2020/04/02,retail_and_recreation,-92.0
193,2020/04/02,grocery_and_pharmacy,-40.0
194,2020/04/02,parks,-78.0
195,2020/04/02,transit_stations,-84.0
196,2020/04/02,workplaces,-75.0
197,2020/04/02,residential,38.0
198,2020/04/03,retail_and_recreation,-88.0
199,2020/04/03,grocery_and_pharmacy,-39.0
200,2020/04/03,parks,-78.0
201,2020/04/03,transit_stations,-84.0
202,2020/04/03,workplaces,-74.0
203,2020/04/03,residential,39.0
204,2020/04/04,retail_and_recreation,-91.0
205,2020/04/04,grocery_and_pharmacy,-53.0
206,2020/04/04,parks,-84.0
207,2020/04/04,transit_stations,-84.0
208,2020/04/04,workplaces,-68.0
209,2020/04/04,residential,28.0
210,2020/04/05,retail_and_recreation,-96.0
211,2020/04/05,grocery_and_pharmacy,-77.0
212,2020/04/05,parks,-90.0
213,2020/04/05,transit_stations,-88.0
214,2020/04/05,workplaces,-64.0
215,2020/04/05,residential,24.0
216,2020/04/06,retail_and_recreation,-86.0
217,2020/04/06,grocery_and_pharmacy,-39.0
218,2020/04/06,parks,-77.0
219,2020/04/06,transit_stations,-83.0
220,2020/04/06,workplaces,-71.0
221,2020/04/06,residential,34.0
222,2020/04/07,retail_and_recreation,-85.0
223,2020/04/07,grocery_and_pharmacy,-39.0
224,2020/04/07,parks,-75.0
225,2020/04/07,transit_stations,-83.0
226,2020/04/07,workplaces,-72.0
227,2020/04/07,residential,35.0
228,2020/04/08,retail_and_recreation,-85.0
229,2020/04/08,grocery_and_pharmacy,-37.0
230,2020/04/08,parks,-77.0
231,2020/04/08,transit_stations,-83.0
232,2020/04/08,workplaces,-71.0
233,2020/04/08,residential,35.0
234,2020/04/09,retail_and_recreation,-84.0
235,2020/04/09,grocery_and_pharmacy,-33.0
236,2020/04/09,parks,-77.0
237,2020/04/09,transit_stations,-83.0
238,2020/04/09,workplaces,-71.0
239,2020/04/09,residential,35.0
240,2020/04/10,retail_and_recreation,-84.0
241,2020/04/10,grocery_and_pharmacy,-29.0
242,2020/04/10,parks,-77.0
243,2020/04/10,transit_stations,-82.0
244,2020/04/10,workplaces,-73.0
245,2020/04/10,residential,38.0
246,2020/04/11,retail_and_recreation,-89.0
247,2020/04/11,grocery_and_pharmacy,-47.0
248,2020/04/11,parks,-83.0
249,2020/04/11,transit_stations,-82.0
250,2020/04/11,workplaces,-67.0
251,2020/04/11,residential,27.0
252,2020/04/12,retail_and_recreation,-97.0
253,2020/04/12,grocery_and_pharmacy,-95.0
254,2020/04/12,parks,-91.0
255,2020/04/12,transit_stations,-90.0
256,2020/04/12,workplaces,-68.0
257,2020/04/12,residential,25.0
258,2020/04/13,retail_and_recreation,-96.0
259,2020/04/13,grocery_and_pharmacy,-84.0
260,2020/04/13,parks,-85.0
261,2020/04/13,transit_stations,-92.0
262,2020/04/13,workplaces,-92.0
263,2020/04/13,residential,43.0
264,2020/04/14,retail_and_recreation,-83.0
265,2020/04/14,grocery_and_pharmacy,-40.0
266,2020/04/14,parks,-74.0
267,2020/04/14,transit_stations,-82.0
268,2020/04/14,workplaces,-68.0
269,2020/04/14,residential,34.0
270,2020/04/15,retail_and_recreation,-83.0
271,2020/04/15,grocery_and_pharmacy,-38.0
272,2020/04/15,parks,-75.0
273,2020/04/15,transit_stations,-82.0
274,2020/04/15,workplaces,-67.0
275,2020/04/15,residential,34.0
276,2020/04/16,retail_and_recreation,-82.0
277,2020/04/16,grocery_and_pharmacy,-38.0
278,2020/04/16,parks,-75.0
279,2020/04/16,transit_stations,-82.0
280,2020/04/16,workplaces,-67.0
281,2020/04/16,residential,34.0
282,2020/04/17,retail_and_recreation,-83.0
283,2020/04/17,grocery_and_pharmacy,-36.0
284,2020/04/17,parks,-75.0
285,2020/04/17,transit_stations,-82.0
286,2020/04/17,workplaces,-67.0
287,2020/04/17,residential,36.0
288,2020/04/18,retail_and_recreation,-88.0
289,2020/04/18,grocery_and_pharmacy,-55.0
290,2020/04/18,parks,-82.0
291,2020/04/18,transit_stations,-81.0
292,2020/04/18,workplaces,-63.0
293,2020/04/18,residential,27.0
294,2020/04/19,retail_and_recreation,-95.0
295,2020/04/19,grocery_and_pharmacy,-79.0
296,2020/04/19,parks,-89.0
297,2020/04/19,transit_stations,-87.0
298,2020/04/19,workplaces,-60.0
299,2020/04/19,residential,23.0
300,2020/04/20,retail_and_recreation,-82.0
301,2020/04/20,grocery_and_pharmacy,-52.0
302,2020/04/20,parks,-81.0
303,2020/04/20,transit_stations,-83.0
304,2020/04/20,workplaces,-65.0
305,2020/04/20,residential,32.0
306,2020/04/21,retail_and_recreation,-82.0
307,2020/04/21,grocery_and_pharmacy,-49.0
308,2020/04/21,parks,-75.0
309,2020/04/21,transit_stations,-82.0
310,2020/04/21,workplaces,-65.0
311,2020/04/21,residential,33.0
312,2020/04/22,retail_and_recreation,-82.0
313,2020/04/22,grocery_and_pharmacy,-46.0
314,2020/04/22,parks,-72.0
315,2020/04/22,transit_stations,-80.0
316,2020/04/22,workplaces,-63.0
317,2020/04/22,residential,32.0
318,2020/04/23,retail_and_recreation,-81.0
319,2020/04/23,grocery_and_pharmacy,-45.0
320,2020/04/23,parks,-73.0
321,2020/04/23,transit_stations,-80.0
322,2020/04/23,workplaces,-64.0
323,2020/04/23,residential,33.0
324,2020/04/24,retail_and_recreation,-81.0
325,2020/04/24,grocery_and_pharmacy,-39.0
326,2020/04/24,parks,-73.0
327,2020/04/24,transit_stations,-80.0
328,2020/04/24,workplaces,-64.0
329,2020/04/24,residential,34.0
330,2020/04/25,retail_and_recreation,-92.0
331,2020/04/25,grocery_and_pharmacy,-69.0
332,2020/04/25,parks,-82.0
333,2020/04/25,transit_stations,-84.0
334,2020/04/25,workplaces,-71.0
335,2020/04/25,residential,28.0
336,2020/04/26,retail_and_recreation,-94.0
337,2020/04/26,grocery_and_pharmacy,-74.0
338,2020/04/26,parks,-86.0
339,2020/04/26,transit_stations,-85.0
340,2020/04/26,workplaces,-57.0
341,2020/04/26,residential,23.0
342,2020/04/27,retail_and_recreation,-78.0
343,2020/04/27,grocery_and_pharmacy,-42.0
344,2020/04/27,parks,-72.0
345,2020/04/27,transit_stations,-79.0
346,2020/04/27,workplaces,-61.0
347,2020/04/27,residential,30.0
348,2020/04/28,retail_and_recreation,-80.0
349,2020/04/28,grocery_and_pharmacy,-46.0
350,2020/04/28,parks,-71.0
351,2020/04/28,transit_stations,-80.0
352,2020/04/28,workplaces,-62.0
353,2020/04/28,residential,30.0
354,2020/04/29,retail_and_recreation,-80.0
355,2020/04/29,grocery_and_pharmacy,-42.0
356,2020/04/29,parks,-70.0
357,2020/04/29,transit_stations,-79.0
358,2020/04/29,workplaces,-61.0
359,2020/04/29,residential,31.0
360,2020/04/30,retail_and_recreation,-77.0
361,2020/04/30,grocery_and_pharmacy,-34.0
362,2020/04/30,parks,-75.0
363,2020/04/30,transit_stations,-79.0
364,2020/04/30,workplaces,-61.0
365,2020/04/30,residential,31.0
366,2020/05/01,retail_and_recreation,-93.0
367,2020/05/01,grocery_and_pharmacy,-83.0
368,2020/05/01,parks,-79.0
369,2020/05/01,transit_stations,-89.0
370,2020/05/01,workplaces,-89.0
371,2020/05/01,residential,45.0
372,2020/05/02,retail_and_recreation,-83.0
373,2020/05/02,grocery_and_pharmacy,-45.0
374,2020/05/02,parks,-76.0
375,2020/05/02,transit_stations,-77.0
376,2020/05/02,workplaces,-58.0
377,2020/05/02,residential,25.0
378,2020/05/03,retail_and_recreation,-92.0
379,2020/05/03,grocery_and_pharmacy,-66.0
380,2020/05/03,parks,-82.0
381,2020/05/03,transit_stations,-82.0
382,2020/05/03,workplaces,-50.0
383,2020/05/03,residential,22.0
384,2020/05/04,retail_and_recreation,-64.0
385,2020/05/04,grocery_and_pharmacy,-31.0
386,2020/05/04,parks,-20.0
387,2020/05/04,transit_stations,-65.0
388,2020/05/04,workplaces,-49.0
389,2020/05/04,residential,21.0
390,2020/05/05,retail_and_recreation,-65.0
391,2020/05/05,grocery_and_pharmacy,-31.0
392,2020/05/05,parks,-17.0
393,2020/05/05,transit_stations,-66.0
394,2020/05/05,workplaces,-49.0
395,2020/05/05,residential,23.0
396,2020/05/06,retail_and_recreation,-66.0
397,2020/05/06,grocery_and_pharmacy,-32.0
398,2020/05/06,parks,-24.0
399,2020/05/06,transit_stations,-66.0
400,2020/05/06,workplaces,-48.0
401,2020/05/06,residential,23.0
402,2020/05/07,retail_and_recreation,-64.0
403,2020/05/07,grocery_and_pharmacy,-31.0
404,2020/05/07,parks,-15.0
405,2020/05/07,transit_stations,-65.0
406,2020/05/07,workplaces,-48.0
407,2020/05/07,residential,23.0
408,2020/05/08,retail_and_recreation,-65.0
409,2020/05/08,grocery_and_pharmacy,-28.0
410,2020/05/08,parks,-20.0
411,2020/05/08,transit_stations,-65.0
412,2020/05/08,workplaces,-48.0
413,2020/05/08,residential,24.0
414,2020/05/09,retail_and_recreation,-67.0
415,2020/05/09,grocery_and_pharmacy,-35.0
416,2020/05/09,parks,-15.0
417,2020/05/09,transit_stations,-57.0
418,2020/05/09,workplaces,-43.0
419,2020/05/09,residential,17.0
420,2020/05/10,retail_and_recreation,-76.0
421,2020/05/10,grocery_and_pharmacy,-56.0
422,2020/05/10,parks,-39.0
423,2020/05/10,transit_stations,-64.0
424,2020/05/10,workplaces,-29.0
425,2020/05/10,residential,14.0
426,2020/05/11,retail_and_recreation,-68.0
427,2020/05/11,grocery_and_pharmacy,-42.0
428,2020/05/11,parks,-66.0
429,2020/05/11,transit_stations,-72.0
430,2020/05/11,workplaces,-47.0
431,2020/05/11,residential,23.0
432,2020/05/12,retail_and_recreation,-61.0
433,2020/05/12,grocery_and_pharmacy,-28.0
434,2020/05/12,parks,-21.0
435,2020/05/12,transit_stations,-64.0
436,2020/05/12,workplaces,-46.0
437,2020/05/12,residential,22.0
438,2020/05/13,retail_and_recreation,-67.0
439,2020/05/13,grocery_and_pharmacy,-34.0
440,2020/05/13,parks,-57.0
441,2020/05/13,transit_stations,-69.0
442,2020/05/13,workplaces,-46.0
443,2020/05/13,residential,23.0
444,2020/05/14,retail_and_recreation,-61.0
445,2020/05/14,grocery_and_pharmacy,-27.0
446,2020/05/14,parks,-18.0
447,2020/05/14,transit_stations,-63.0
448,2020/05/14,workplaces,-45.0
449,2020/05/14,residential,21.0
450,2020/05/15,retail_and_recreation,-64.0
451,2020/05/15,grocery_and_pharmacy,-29.0
452,2020/05/15,parks,-41.0
453,2020/05/15,transit_stations,-66.0
454,2020/05/15,workplaces,-46.0
455,2020/05/15,residential,24.0
456,2020/05/16,retail_and_recreation,-65.0
457,2020/05/16,grocery_and_pharmacy,-34.0
458,2020/05/16,parks,-30.0
459,2020/05/16,transit_stations,-58.0
460,2020/05/16,workplaces,-37.0
461,2020/05/16,residential,17.0
462,2020/05/17,retail_and_recreation,-70.0
463,2020/05/17,grocery_and_pharmacy,-51.0
464,2020/05/17,parks,-17.0
465,2020/05/17,transit_stations,-58.0
466,2020/05/17,workplaces,-22.0
467,2020/05/17,residential,13.0
468,2020/05/18,retail_and_recreation,-42.0
469,2020/05/18,grocery_and_pharmacy,-24.0
470,2020/05/18,parks,9.0
471,2020/05/18,transit_stations,-56.0
472,2020/05/18,workplaces,-40.0
473,2020/05/18,residential,17.0
474,2020/05/19,retail_and_recreation,-46.0
475,2020/05/19,grocery_and_pharmacy,-23.0
476,2020/05/19,parks,-23.0
477,2020/05/19,transit_stations,-59.0
478,2020/05/19,workplaces,-41.0
479,2020/05/19,residential,19.0
480,2020/05/20,retail_and_recreation,-41.0
481,2020/05/20,grocery_and_pharmacy,-19.0
482,2020/05/20,parks,25.0
483,2020/05/20,transit_stations,-53.0
484,2020/05/20,workplaces,-39.0
485,2020/05/20,residential,17.0
486,2020/05/21,retail_and_recreation,-40.0
487,2020/05/21,grocery_and_pharmacy,-18.0
488,2020/05/21,parks,19.0
489,2020/05/21,transit_stations,-54.0
490,2020/05/21,workplaces,-41.0
491,2020/05/21,residential,17.0
492,2020/05/22,retail_and_recreation,-41.0
493,2020/05/22,grocery_and_pharmacy,-17.0
494,2020/05/22,parks,17.0
495,2020/05/22,transit_stations,-54.0
496,2020/05/22,workplaces,-39.0
497,2020/05/22,residential,18.0
498,2020/05/23,retail_and_recreation,-43.0
499,2020/05/23,grocery_and_pharmacy,-23.0
500,2020/05/23,parks,15.0
501,2020/05/23,transit_stations,-43.0
502,2020/05/23,workplaces,-26.0
503,2020/05/23,residential,11.0
504,2020/05/24,retail_and_recreation,-43.0
505,2020/05/24,grocery_and_pharmacy,-34.0
506,2020/05/24,parks,34.0
507,2020/05/24,transit_stations,-40.0
508,2020/05/24,workplaces,-9.0
509,2020/05/24,residential,7.0
510,2020/05/25,retail_and_recreation,-37.0
511,2020/05/25,grocery_and_pharmacy,-22.0
512,2020/05/25,parks,24.0
513,2020/05/25,transit_stations,-54.0
514,2020/05/25,workplaces,-39.0
515,2020/05/25,residential,15.0
516,2020/05/26,retail_and_recreation,-36.0
517,2020/05/26,grocery_and_pharmacy,-18.0
518,2020/05/26,parks,35.0
519,2020/05/26,transit_stations,-52.0
520,2020/05/26,workplaces,-37.0
521,2020/05/26,residential,15.0
522,2020/05/27,retail_and_recreation,-36.0
523,2020/05/27,grocery_and_pharmacy,-16.0
524,2020/05/27,parks,33.0
525,2020/05/27,transit_stations,-51.0
526,2020/05/27,workplaces,-37.0
527,2020/05/27,residential,15.0
528,2020/05/28,retail_and_recreation,-36.0
529,2020/05/28,grocery_and_pharmacy,-16.0
530,2020/05/28,parks,25.0
531,2020/05/28,transit_stations,-52.0
532,2020/05/28,workplaces,-37.0
533,2020/05/28,residential,15.0
534,2020/05/29,retail_and_recreation,-36.0
535,2020/05/29,grocery_and_pharmacy,-14.0
536,2020/05/29,parks,22.0
537,2020/05/29,transit_stations,-51.0
538,2020/05/29,workplaces,-37.0
539,2020/05/29,residential,16.0
540,2020/05/30,retail_and_recreation,-35.0
541,2020/05/30,grocery_and_pharmacy,-18.0
542,2020/05/30,parks,39.0
543,2020/05/30,transit_stations,-35.0
544,2020/05/30,workplaces,-21.0
545,2020/05/30,residential,8.0
546,2020/05/31,retail_and_recreation,-37.0
547,2020/05/31,grocery_and_pharmacy,-28.0
548,2020/05/31,parks,38.0
549,2020/05/31,transit_stations,-37.0
550,2020/05/31,workplaces,-1.0
551,2020/05/31,residential,6.0
552,2020/06/01,retail_and_recreation,-16.0
553,2020/06/01,grocery_and_pharmacy,1.0
554,2020/06/01,parks,109.0
555,2020/06/01,transit_stations,-44.0
556,2020/06/01,workplaces,-53.0
557,2020/06/01,residential,14.0
558,2020/06/02,retail_and_recreation,-35.0
559,2020/06/02,grocery_and_pharmacy,-36.0
560,2020/06/02,parks,184.0
561,2020/06/02,transit_stations,-54.0
562,2020/06/02,workplaces,-77.0
563,2020/06/02,residential,22.0
564,2020/06/03,retail_and_recreation,-37.0
565,2020/06/03,grocery_and_pharmacy,-15.0
566,2020/06/03,parks,1.0
567,2020/06/03,transit_stations,-49.0
568,2020/06/03,workplaces,-35.0
569,2020/06/03,residential,14.0
570,2020/06/04,retail_and_recreation,-42.0
571,2020/06/04,grocery_and_pharmacy,-21.0
572,2020/06/04,parks,-57.0
573,2020/06/04,transit_stations,-58.0
574,2020/06/04,workplaces,-38.0
575,2020/06/04,residential,17.0
576,2020/06/05,retail_and_recreation,-28.0
577,2020/06/05,grocery_and_pharmacy,-12.0
578,2020/06/05,parks,38.0
579,2020/06/05,transit_stations,-46.0
580,2020/06/05,workplaces,-35.0
581,2020/06/05,residential,12.0
582,2020/06/06,retail_and_recreation,-30.0
583,2020/06/06,grocery_and_pharmacy,-19.0
584,2020/06/06,parks,40.0
585,2020/06/06,transit_stations,-35.0
586,2020/06/06,workplaces,-19.0
587,2020/06/06,residential,6.0
588,2020/06/07,retail_and_recreation,-46.0
589,2020/06/07,grocery_and_pharmacy,-33.0
590,2020/06/07,parks,-62.0
591,2020/06/07,transit_stations,-58.0
592,2020/06/07,workplaces,-8.0
593,2020/06/07,residential,9.0
594,2020/06/08,retail_and_recreation,-32.0
595,2020/06/08,grocery_and_pharmacy,-22.0
596,2020/06/08,parks,-23.0
597,2020/06/08,transit_stations,-53.0
598,2020/06/08,workplaces,-35.0
599,2020/06/08,residential,13.0
600,2020/06/09,retail_and_recreation,-27.0
601,2020/06/09,grocery_and_pharmacy,-16.0
602,2020/06/09,parks,14.0
603,2020/06/09,transit_stations,-48.0
604,2020/06/09,workplaces,-34.0
605,2020/06/09,residential,12.0
606,2020/06/10,retail_and_recreation,-29.0
607,2020/06/10,grocery_and_pharmacy,-15.0
608,2020/06/10,parks,-6.0
609,2020/06/10,transit_stations,-49.0
610,2020/06/10,workplaces,-33.0
611,2020/06/10,residential,13.0
612,2020/06/11,retail_and_recreation,-25.0
613,2020/06/11,grocery_and_pharmacy,-13.0
614,2020/06/11,parks,-3.0
615,2020/06/11,transit_stations,-49.0
